customer_id,income,employment_length,loan_amount,emi,credit_score,credit_utilization_ratio,missed_payments,avg_monthly_balance,balance_trend,utilization_trend,payment_behavior_score,rolling_missed_3m,num_loans,banking_relationship_length,income_to_emi_ratio,loan_to_income_ratio,defaulted,time_to_default,cluster,default_probability,risk_segment
DCRIS000001,132989.9,2.5,474247.56,27241.97,590,0.2355,3,22105.17,-0.5794,-0.0136,70.68,1,0,3.1,4.8816,3.566,0,36,2,0.42192694016849097,Critical
DCRIS000002,90856.94,0.1,215104.37,4737.49,558,0.1078,0,22221.51,-0.0175,0.0956,87.13,0,2,1.6,19.1742,2.3675,1,5,1,0.5806509531902604,Risky
DCRIS000003,145599.23,11.4,576877.66,10000.4,710,0.1565,1,92731.76,-0.714,-0.0286,84.29,0,1,6.0,14.5579,3.9607010000000002,1,15,2,0.5675622390813297,Critical
DCRIS000004,246179.92,3.7,254485.79,6317.19,695,0.2975,2,114064.78,0.4157,0.0565,83.3,0,2,0.3,38.9637,1.0337,1,20,0,0.4964989894317775,Safe
DCRIS000005,85777.15,9.5,66140.62,1278.21,755,0.5752,0,40268.42,0.621,-0.0125,97.37,0,0,3.3,67.0547,0.7711,0,36,0,0.33381303671716633,Safe
DCRIS000006,85778.0,0.3,65667.33,1605.49,738,0.1407,0,47351.75,0.2647,0.0093,93.43,1,3,0.4,53.3945,0.7655,0,36,0,0.35589003712383555,Safe
DCRIS000007,254620.04,1.3,960858.96,42140.37360000001,615,0.0705,0,168411.1,0.4657,0.0683,100.0,0,1,0.8,4.105988,3.7737,1,24,2,0.7019308056149104,Critical
DCRIS000008,156445.16,1.5,430419.21,17539.2,770,0.3107,0,17187.27,1.065,0.0089,95.2,0,2,0.3,8.9192,2.7512,0,36,1,0.5381305759944364,Risky
DCRIS000009,74482.19,2.4,125109.61,3997.79,741,0.2551,0,34771.63,0.5148,0.0888,100.0,0,1,9.3,18.6262,1.6797,0,36,1,0.42860841242263154,Risky
DCRIS000010,136698.91,8.1,252113.88,4368.6,735,0.2456,0,96227.85,0.139,0.0124,97.5,0,0,0.2,31.2841,1.8443,1,3,0,0.4695762764188387,Safe
DCRIS000011,74753.36,2.4,220565.66,2969.25,859,0.5257,0,40320.98,-0.7803,-0.0237,95.6,0,3,2.9,25.1673,2.9505,0,36,1,0.471640972389525,Risky
DCRIS000012,74649.73,1.1,198442.85,7907.58,843,0.2927,0,34346.5,-0.9511,0.0472,89.18,0,3,1.0,9.4391,2.6583,0,36,1,0.5046319378868688,Risky
DCRIS000013,114139.58,3.5,199218.62,7042.75,735,0.4402,1,52759.55,-1.1623,0.0099,77.62,0,1,1.9,16.2044,1.7454,1,1,1,0.6799982126886621,Risky
DCRIS000014,31320.62,0.4,91301.1,1438.05,725,0.1396,0,5447.6846,0.1042,-0.0044,100.0,1,1,2.7,21.7648,2.915,0,36,1,0.4625254467797466,Risky
DCRIS000015,35068.17,7.1,59583.49,737.07,766,0.2015,0,16900.17,1.3299,-0.0476,100.0,1,0,2.4,47.5133,1.699,0,36,0,0.36399023473540676,Safe
DCRIS000016,70447.81,2.9,146766.98,3922.56,633,0.2929,0,45137.94,-0.3184,0.0646,84.74,0,2,5.5,17.9551,2.0833,0,36,1,0.5790150108945811,Risky
DCRIS000017,53760.88,6.5,186969.18,5333.79,634,0.404,2,10363.15,0.1226,-0.01,78.92,0,2,9.7,10.0774,3.4777,0,36,1,0.47706310285484643,Risky
DCRIS000018,119198.85,5.7,108936.17,2865.76,733,0.4139,1,90120.92,-0.8793,0.0253,85.59,0,0,1.4,41.5797,0.9139,0,36,0,0.4755543827611339,Safe
DCRIS000019,57250.15,0.7,115276.14,4754.92,611,0.2394,0,23347.34,-0.049,0.0175,97.96,1,1,0.1,12.0377,2.0135,0,36,1,0.5056213271306176,Risky
DCRIS000020,42303.19,0.8,34759.65,732.7,727,0.1414,0,5447.6846,-0.0587,-0.0044,93.41,2,0,9.0,57.6575,0.8217,1,4,0,0.5695273248245315,Safe
DCRIS000021,237848.52,7.0,151173.32,2956.6,692,0.248,0,71729.42,0.3687,0.0282,96.98,0,1,15.4,80.4194,0.6356,0,36,0,0.21785738069131313,Safe
DCRIS000022,86209.38,6.4,334601.16,14346.56,611,0.7588,1,17597.96,0.1559,0.0429,77.83,0,2,2.3,6.0086,3.8812,1,5,1,0.7716252647519316,Risky
DCRIS000023,102797.56,2.4,253792.59,9025.83,682,0.146,0,46975.12,0.0051,-0.0218,100.0,1,5,2.4,11.388,2.4688,0,36,1,0.4408395000149429,Risky
DCRIS000024,41988.5,0.4,164589.13,6199.68,784,0.1372,0,26807.12,0.8214,-0.0353,100.0,0,0,0.6,6.7716,3.9198,1,8,1,0.5780958917745928,Risky
DCRIS000025,71208.71,0.1,249661.38,4489.03,686,0.119,0,19401.99,0.3709,0.0465,100.0,0,2,2.6,15.8593,3.506,1,1,1,0.5427993522661593,Risky
DCRIS000026,105509.21,1.7,416602.62,6588.48,686,0.3857,2,53308.8,0.2977,-0.0577,70.68,0,0,1.4,16.0118,3.9485,0,36,1,0.452056520875863,Risky
DCRIS000027,49483.96,0.0,186612.49,5487.88,706,0.4395,0,33433.9,0.1386,0.004,87.53,0,2,20.7,9.0153,3.7711,1,33,1,0.7351880116273203,Risky
DCRIS000028,123675.79,1.3,442436.27,6592.88,716,0.2056,0,74670.28,1.1899,-0.048,98.01,0,1,0.8,18.7561,3.5774,0,36,1,0.4842830778424734,Risky
DCRIS000029,68845.27,2.7,208935.04,2697.32,653,0.5898,0,32979.6,0.2693,0.0085,85.28,0,2,1.9,25.5141,3.0348,1,22,1,0.636220632401759,Risky
DCRIS000030,82866.3,0.6,254509.04,5160.59,708,0.128,0,49786.09,-2.3149,-0.0527,100.0,0,3,3.8,16.0544,3.0713,0,36,1,0.46399366942719794,Risky
DCRIS000031,68801.17,0.6,261406.05,3373.11,596,0.661,0,40601.48,-0.3585,0.0519,93.09,0,2,1.7,20.3909,3.7994,1,1,1,0.7053536914482998,Risky
DCRIS000032,299948.75,11.3,1102997.0841000008,20590.82,616,0.2266,1,105894.34,0.1653,0.0884,83.96,0,1,2.6,14.5664,3.9195,1,13,2,0.6701664760052868,Critical
DCRIS000033,97919.57,4.4,372495.07,14283.54,626,0.1856,1,39552.83,-1.5538,0.0174,92.03,0,0,14.5,6.8549,3.8041,1,10,1,0.6429857676242396,Risky
